t, PE, KE, TE,q1, q2,
0.138750, 668.930538, 427.703253, 1096.633791,-0.443281, 0.825927,
0.139375, 668.612560, 422.179716, 1090.792275,-0.448281, 0.830970,
0.140000, 668.292613, 416.666063, 1084.958676,-0.453253, 0.836006,
0.140625, 667.970778, 411.163577, 1079.134355,-0.458198, 0.841038,
0.141250, 667.647124, 405.673766, 1073.320890,-0.463116, 0.846064,
0.141875, 667.321729, 400.197872, 1067.519601,-0.468005, 0.851083,
0.142500, 666.994663, 394.737350, 1061.732013,-0.472867, 0.856097,
0.143125, 666.666004, 389.293400, 1055.959404,-0.477701, 0.861105,
0.143750, 666.335821, 383.867426, 1050.203247,-0.482506, 0.866106,
0.144375, 666.004192, 378.460584, 1044.464777,-0.487282, 0.871101,
0.145000, 665.671186, 373.074224, 1038.745410,-0.492030, 0.876090,
0.145625, 665.336878, 367.709461, 1033.046339,-0.496749, 0.881071,
0.146250, 665.001338, 362.367588, 1027.368926,-0.501439, 0.886046,
0.146875, 664.664641, 357.049679, 1021.714319,-0.506099, 0.891013,
0.147500, 664.326853, 351.756970, 1016.083824,-0.510730, 0.895973,
0.148125, 663.988053, 346.490492, 1010.478544,-0.515331, 0.900926,
0.148750, 663.648304, 341.251426, 1004.899730,-0.519903, 0.905871,
0.149375, 663.307682, 336.040757, 999.348439,-0.524444, 0.910809,
0.150000, 662.966252, 330.859614, 993.825865,-0.528955, 0.915739,
0.150625, 662.624088, 325.708934, 988.333022,-0.533436, 0.920661,
0.151250, 662.281255, 320.589791, 982.871046,-0.537886, 0.925574,
0.151875, 661.937825, 315.503078, 977.440903,-0.542306, 0.930480,
0.152500, 661.593861, 310.449814, 972.043675,-0.546694, 0.935377,
0.153125, 661.249436, 305.430847, 966.680283,-0.551052, 0.940266,
0.153750, 660.904611, 300.447139, 961.351750,-0.555379, 0.945146,
0.154375, 660.559459, 295.499492, 956.058951,-0.559674, 0.950017,
0.155000, 660.214038, 290.588817, 950.802855,-0.563938, 0.954879,
0.155625, 659.868420, 285.715869, 945.584288,-0.568170, 0.959732,
0.156250, 659.522662, 280.881503, 940.404165,-0.572371, 0.964576,
0.156875, 659.176837, 276.086430, 935.263266,-0.576540, 0.969410,
0.157500, 658.830999, 271.331451, 930.162449,-0.580677, 0.974236,
0.158125, 658.485218, 266.617231, 925.102449,-0.584782, 0.979051,
0.158750, 658.139549, 261.944520, 920.084069,-0.588855, 0.983857,
0.159375, 657.794061, 257.313936, 915.107997,-0.592895, 0.988653,
0.160000, 657.448807, 252.726176, 910.174982,-0.596903, 0.993439,
0.160625, 657.103853, 248.181815, 905.285668,-0.600879, 0.998215,
0.161250, 656.759253, 243.681496, 900.440749,-0.604821, 1.002981,
0.161875, 656.415071, 239.225751, 895.640823,-0.608732, 1.007736,
0.162500, 656.071358, 234.815173, 890.886531,-0.612609, 1.012481,
0.163125, 655.728179, 230.450249, 886.178428,-0.616453, 1.017215,
0.163750, 655.385582, 226.131520, 881.517102,-0.620265, 1.021939,
0.164375, 655.043631, 221.859431, 876.903062,-0.624043, 1.026652,
0.165000, 654.702372, 217.634475, 872.336847,-0.627788, 1.031354,
0.165625, 654.361868, 213.457052, 867.818920,-0.631500, 1.036044,
0.166250, 654.022164, 209.327607, 863.349771,-0.635178, 1.040724,
0.166875, 653.683320, 205.246500, 858.929820,-0.638823, 1.045392,
0.167500, 653.345381, 201.214126, 854.559507,-0.642435, 1.050049,
0.168125, 653.008405, 197.230804, 850.239209,-0.646012, 1.054695,
0.168750, 652.672435, 193.296883, 845.969319,-0.649557, 1.059329,
0.169375, 652.337529, 189.412642, 841.750170,-0.653067, 1.063951,
0.170000, 652.003725, 185.578384, 837.582109,-0.656544, 1.068562,
0.170625, 651.671082, 181.794347, 833.465430,-0.659986, 1.073160,
0.171250, 651.339638, 178.060792, 829.400430,-0.663395, 1.077746,
0.171875, 651.009447, 174.377917, 825.387363,-0.666770, 1.082321,
0.172500, 650.680546, 170.745938, 821.426484,-0.670111, 1.086883,
0.173125, 650.352989, 167.165018, 817.518008,-0.673418, 1.091433,
0.173750, 650.026811, 163.635331, 813.662142,-0.676691, 1.095970,
0.174375, 649.702064, 160.157000, 809.859064,-0.679929, 1.100495,
0.175000, 649.378781, 156.730160, 806.108941,-0.683134, 1.105007,
0.175625, 649.057013, 153.354899, 802.411912,-0.686304, 1.109506,
0.176250, 648.736792, 150.031310, 798.768101,-0.689440, 1.113993,
0.176875, 648.418165, 146.759447, 795.177612,-0.692541, 1.118466,
0.177500, 648.101164, 143.539365, 791.640530,-0.695609, 1.122927,
0.178125, 647.785836, 140.371085, 788.156921,-0.698642, 1.127375,
0.178750, 647.472209, 137.254623, 784.726832,-0.701640, 1.131809,
0.179375, 647.160328, 134.189967, 781.350295,-0.704604, 1.136230,
0.180000, 646.850221, 131.177099, 778.027320,-0.707534, 1.140638,
0.180625, 646.541932, 128.215974, 774.757906,-0.710430, 1.145032,
0.181250, 646.235486, 125.306539, 771.542025,-0.713291, 1.149412,
0.181875, 645.930925, 122.448719, 768.379644,-0.716117, 1.153779,
0.182500, 645.628272, 119.642428, 765.270701,-0.718909, 1.158133,
